transition_id,source_index,target_index,Ji,Ki,parity_i,mF_i,xi_i,Jf,Kf,parity_f,mF_f,xi_f,signed_frequency_khz,rabi_over_2pi_khz
281,89,27,3,2,+,0.5,1,2,2,+,1.5,2,-2000341868.9239998,0.407
282,34,41,2,1,+,0.5,1,2,1,+,1.5,2,59.680999994277954,0.406
283,102,109,2,1,-,0.5,1,2,1,-,1.5,2,59.680999755859375,0.406
284,109,100,2,1,-,1.5,2,2,1,-,2.5,1,-68.26300001144409,0.399
285,41,32,2,1,+,1.5,2,2,1,+,2.5,1,-68.26300001144409,0.399
286,67,50,3,3,+,1.5,3,3,3,+,2.5,1,-189.70999956130981,0.39
287,44,43,1,1,-,-0.5,1,1,1,-,0.5,1,-6.168999910354614,0.383
288,46,47,1,1,-,-0.5,2,1,1,-,0.5,2,2.114000082015991,0.383
289,2,1,1,1,+,-0.5,1,1,1,+,0.5,1,-6.169,0.383
290,4,5,1,1,+,-0.5,2,1,1,+,0.5,2,2.113999999999997,0.383
291,129,28,2,0,-,0.5,4,0,0,-,1.5,1,-1965254071.0190003,0.382
292,115,121,2,0,-,-1.5,1,2,0,-,-0.5,2,68.4539999961853,0.38
293,53,68,3,3,+,-0.5,1,3,3,+,0.5,3,172.30499982833862,0.377
294,123,122,2,0,-,-2.5,2,2,0,-,-1.5,2,-8.434999942779541,0.373
295,92,91,3,2,+,-2.5,1,3,2,+,-1.5,1,-4.0929999351501465,0.365
296,17,16,1,0,+,-0.5,3,1,0,+,0.5,3,-23.282999992370605,0.355
297,66,49,3,3,+,2.5,3,3,3,+,3.5,1,-194.41799974441528,0.353
298,68,51,3,3,+,0.5,3,3,3,+,1.5,1,-185.1449999809265,0.353
299,120,119,2,0,-,0.5,2,2,0,-,1.5,2,-6.1489996910095215,0.344
300,126,113,2,0,-,-0.5,3,2,0,-,0.5,1,-136.37000036239624,0.341
301,73,61,3,3,+,-0.5,4,3,3,+,0.5,2,-136.29299974441528,0.335
302,24,90,2,2,+,-1.5,2,3,2,+,-0.5,1,2000341874.487,0.334
303,89,88,3,2,+,0.5,1,3,2,+,1.5,1,-3.799999713897705,0.328
304,10,14,1,0,+,-1.5,1,1,0,+,-0.5,2,45.523999989032745,0.322
305,19,87,2,2,+,1.5,1,3,2,+,2.5,1,2000341925.41,0.317
306,113,124,2,0,-,0.5,1,2,0,-,1.5,3,132.0590000152588,0.308
307,69,52,3,3,+,-0.5,3,3,3,+,0.5,1,-180.86500024795532,0.279
